n1,n2,n3,depth,offline_ms,edge_online_ms,fog_transition_ms,cloud_transition_ms,total_ms,offline_bytes,online_edge_bytes,fog_transition_bytes,cloud_transition_bytes,total_bytes,correct,run
3,3,2,50,3.4376000403426588,0.874500023201108,311.1201000283472,205.77400003094226,521.2062001228333,7200,5040,1296,960,14496,True,0
3,3,2,50,3.495299955829978,0.8926999871619046,282.47170004760846,199.88359999842942,486.74329998902977,7200,5040,1296,960,14496,True,1
3,3,2,50,3.566900035366416,0.8972000214271247,280.5090000038035,203.118400007952,488.09150006854907,7200,5040,1296,960,14496,True,2
3,3,2,50,3.571299952454865,0.998699979390949,282.3544000275433,199.58939997013658,486.5137999295257,7200,5040,1296,960,14496,True,3
3,3,2,50,3.4324000007472932,0.8921999833546579,286.31290001794696,214.49919999577105,505.13669999781996,7200,5040,1296,960,14496,True,4
5,3,2,50,4.569799988530576,1.2845000019297004,469.1240999964066,214.08030000748113,689.058699994348,12000,8400,2160,960,23520,True,0
5,3,2,50,5.19449997227639,1.2852000072598457,487.7439999836497,204.65149998199195,698.8751999451779,12000,8400,2160,960,23520,True,1
5,3,2,50,4.600799991749227,1.1792000150308013,504.2034999933094,205.69739997154102,715.6808999716304,12000,8400,2160,960,23520,True,2
5,3,2,50,4.742800025269389,1.1289000394754112,466.69510001083836,206.1107000336051,678.6775001091883,12000,8400,2160,960,23520,True,3
5,3,2,50,4.727700026705861,1.213699986692518,465.1544999796897,218.82269997149706,689.9185999645852,12000,8400,2160,960,23520,True,4
7,3,2,50,5.598199961241335,1.4909000019542873,660.8559000305831,210.70519997738302,878.6501999711618,16800,11760,3024,960,32544,True,0
7,3,2,50,6.64500001585111,1.5991000109352171,654.3186000199057,200.53859998006374,863.1013000267558,16800,11760,3024,960,32544,True,1
7,3,2,50,5.626500002108514,2.0220999722369015,689.0754000050947,201.21059997472912,897.9345999541692,16800,11760,3024,960,32544,True,2
7,3,2,50,5.8932999963872135,1.545499952044338,671.5109000215307,201.23469998361543,880.1843999535777,16800,11760,3024,960,32544,True,3
7,3,2,50,5.8188000111840665,1.4659999869763851,679.1341000352986,205.571600003168,891.990500036627,16800,11760,3024,960,32544,True,4
9,3,2,50,7.335200032684952,1.859599957242608,874.3153000250459,198.19289998849854,1081.703000003472,21600,15120,3888,960,41568,True,0
9,3,2,50,7.328699983190745,1.7163000302389264,853.078700019978,203.61720002256334,1065.740900055971,21600,15120,3888,960,41568,True,1
9,3,2,50,7.8162000281736255,1.9214999629184604,895.460500032641,214.54409998841584,1119.742300012149,21600,15120,3888,960,41568,True,2
9,3,2,50,7.277500000782311,1.7195000546053052,889.7642000229098,222.25980000803247,1121.0210000863299,21600,15120,3888,960,41568,True,3
9,3,2,50,7.964499993249774,1.9056000164709985,871.9194000004791,201.28129998920485,1083.0707999994047,21600,15120,3888,960,41568,True,4
10,3,2,50,8.004200004506856,1.9247999880462885,962.6902000163682,217.80899999430403,1190.4282000032254,24000,16800,4320,960,46080,True,0
10,3,2,50,9.567499975673854,2.2339000133797526,1006.714099959936,199.00890003191307,1217.5243999809027,24000,16800,4320,960,46080,True,1
10,3,2,50,7.730200013611466,1.8151000258512795,945.5451999674551,202.18830002704635,1157.2788000339642,24000,16800,4320,960,46080,True,2
10,3,2,50,7.582999998703599,1.8594000139273703,967.1386000118218,210.69650002755225,1187.277500052005,24000,16800,4320,960,46080,True,3
10,3,2,50,6.997899967245758,1.7136000096797943,949.3376999744214,225.37820000434294,1183.42739995569,24000,16800,4320,960,46080,True,4
