operation,field_bits,prime,n_edge,n_fog,batch_size,mean_ms,stdev_ms,min_ms,max_ms
mac_check,64,2305843009213693951,5,3,,0.031716666666666664,0.01142103574424248,0.0231,0.069
mac_check,128,170141183460469231731687303715884105727,5,3,,0.033896666666666665,0.009507945255863948,0.024,0.0562
batch_mac_check_8,64,2305843009213693951,5,3,8,0.2759233333333333,0.06587312090277235,0.2355,0.4596
batch_mac_check_8,128,170141183460469231731687303715884105727,5,3,8,0.25737333333333334,0.004286058661588136,0.2537,0.27
triple_generation_proxy,64,2305843009213693951,5,3,,0.06418666666666667,0.001340800927221031,0.0631,0.0705
triple_generation_proxy,128,170141183460469231731687303715884105727,5,3,,0.06709000000000001,0.009309370510960709,0.0632,0.1125
commitment_verification,64,2305843009213693951,5,3,,2.774913333333333,0.32468734641119024,2.4182,3.8067
commitment_verification,128,170141183460469231731687303715884105727,5,3,,3.230296666666667,0.38281549754538347,2.7858,4.3504
inter_level_resharing,64,2305843009213693951,5,3,,54.718086666666665,1.886886728638644,51.1332,59.1453
inter_level_resharing,128,170141183460469231731687303715884105727,5,3,,63.53753666666667,3.780993525013684,58.7417,76.1464
