sample,true_label,plaintext_pred,quantized_pred,secure_pred,quantized_score,secure_score,latency_ms,tcp_wire_bytes,model_communication_bytes,edge_mac_ok,fog_malicious,cloud_malicious,score_matches,prediction_matches_quantized
0,0,0,0,0,-3404952,-3404952,254.5950561761856,8053,3520,True,,,True,True
1,1,1,1,1,2947818,2947818,254.08601760864258,8056,3520,True,,,True,True
2,1,1,1,1,4087686,4087686,259.94424521923065,8066,3520,True,,,True,True
3,0,0,0,0,-6846525,-6846525,206.8165484815836,8060,3520,True,,,True,True
4,0,0,0,0,-918533,-918533,304.53128181397915,8055,3520,True,,,True,True
5,0,0,0,0,-6584998,-6584998,198.2629280537367,8054,3520,True,,,True,True
6,1,1,1,1,12201120,12201120,185.00034883618355,8055,3520,True,,,True,True
7,0,0,0,0,-6481667,-6481667,196.36902771890163,8052,3520,True,,,True,True
8,1,1,1,1,3982353,3982353,208.46107974648476,8049,3520,True,,,True,True
9,0,0,0,0,-23441996,-23441996,236.48452758789062,8051,3520,True,,,True,True
10,1,1,1,1,10966755,10966755,226.0655239224434,8061,3520,True,,,True,True
11,1,1,1,1,4775839,4775839,343.88940781354904,8062,3520,True,,,True,True
12,0,0,0,0,-5979034,-5979034,293.66918094456196,8059,3520,True,,,True,True
13,0,1,1,1,1888286,1888286,280.05744330585003,8063,3520,True,,,True,True
14,1,1,1,1,6626880,6626880,245.8597756922245,8052,3520,True,,,True,True
15,0,0,0,0,-915416,-915416,191.3000401109457,8057,3520,True,,,True,True
16,0,0,0,0,-9986066,-9986066,207.39255659282207,8057,3520,True,,,True,True
17,1,1,1,1,1821740,1821740,221.61290235817432,8061,3520,True,,,True,True
18,1,1,1,1,7373953,7373953,214.39122781157494,8065,3520,True,,,True,True
19,1,1,1,1,4274011,4274011,216.3790911436081,8062,3520,True,,,True,True
20,1,1,1,1,4856534,4856534,235.33770628273487,8054,3520,True,,,True,True
21,1,1,1,1,2108247,2108247,260.7508506625891,8046,3520,True,,,True,True
22,1,1,1,1,3775871,3775871,254.63459827005863,8065,3520,True,,,True,True
23,0,0,0,0,-11127649,-11127649,263.24254646897316,8049,3520,True,,,True,True
24,0,0,0,0,-13896101,-13896101,194.25235502421856,8048,3520,True,,,True,True
25,1,1,1,1,1792931,1792931,292.9423414170742,8056,3520,True,,,True,True
26,1,1,1,1,6378370,6378370,313.49208764731884,8053,3520,True,,,True,True
27,1,1,1,1,4408343,4408343,403.3515751361847,8052,3520,True,,,True,True
28,0,0,0,0,-7054701,-7054701,663.1635185331106,8065,3520,True,,,True,True
29,0,0,0,0,-9448761,-9448761,301.8568120896816,8057,3520,True,,,True,True
